project_code,project_name,category,spatial_scope,atoll,island,join_key,total_mvr,active_months,first_month,last_month,parsed_locations,parsed_location_count,location_status,spatial_scope_clean,review_note
P-WST032-002,Greater Male Waste to Energy Project,Waste management,multi_location,M; K,ale; Male,M.ale; K.Male,1229287.6,7,2025-03-01,2025-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST011-001,Zone 1 Regional Waste Management Project,Waste management,multi_location,R; M,egional; anagement,R.egional; M.anagement,10122667.73,3,2023-07-01,2024-11-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST011-002,Upg. of Zone 1 Island Waste Management Centres,Waste management,multi_location,M,anagement Centres,M.anagement Centres,2496980.0,1,2023-07-01,2023-07-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST045-001,Estab. of WRMC - GA Kolamaafushi,Waste management,single_island,GA,Kolamaafushi,GA.Kolamaafushi,520000.0,2,2023-07-01,2023-09-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST036-001,Estab. Systems For Bio-Treatment Of Org. Waste in Zone 2,Waste management,multi_location,S; B,ystems For; io-Treatment Of,S.ystems For; B.io-Treatment Of,3824000.0,2,2023-09-01,2023-10-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST038-001,Upgrading of Zone 3 outer Island waste management centers,Waste management,multi_location,M,anagement centers,M.anagement centers,1000000.0,1,2023-09-01,2023-09-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST087-001,Small Scale Waste to Energy Project,Waste management,single_island,S,mall Scale,S.mall Scale,4883.0,2,2025-06-01,2025-07-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST088-001,Greater Male ENVR. Imprv. & Waste Mgmt,Waste management,multi_location,M; M; K,ale ENVR; gmt; Male,M.ale ENVR; M.gmt; K.Male,30305093.82,9,2025-02-01,2025-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST089-001,Maldives Clean Environment Project,Waste management,multi_location,M,aldives Clean,M.aldives Clean,3147746.76,1,2025-10-01,2025-10-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST110-001,Upg. of Waste Management Infra Centre - Kulhudhuffushi City,Waste management,multi_location,M; K,anagement Infra; ulhudhuffushi,M.anagement Infra; K.ulhudhuffushi,1045185.31,1,2025-10-01,2025-10-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST272-129,Upgrade of Waste Management Infra Centre - Fuvahmulah City,Waste management,multi_location,M; F; Gn,anagement Infra; uvahmulah; Fuvahmulah,M.anagement Infra; F.uvahmulah; Gn.Fuvahmulah,1273924.11,1,2025-12-01,2025-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST035-001,Estab. Syst. For Bio-Treatment Of Orgnc. Waste Zones 4 & 5,Waste management,multi_location,S; F,yst; or Bio-Treatment,S.yst; F.or Bio-Treatment,4809145.38,5,2023-12-01,2024-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-ACT001-022,Southern Marine Park Management Project,Environmental management,multi_location,S; M,outhern Marine; anagement,S.outhern Marine; M.anagement,749360.56,13,2024-01-01,2025-01-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-OTH006-001,Estab. Ambient Air Quality Monitoring Station - Male,Environmental management,multi_location,M; M; K,onitoring Station; ale; Male,M.onitoring Station; M.ale; K.Male,54898.94,2,2024-04-01,2024-10-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-CPT048-001,Building Climate Resilient Safer Islands,Coastal protection,multi_location,B; R,uilding Climate; esilient Safer,B.uilding Climate; R.esilient Safer,252155.83,5,2024-07-01,2024-12-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
P-WST033-001,Arena converting waste to energy,Waste management,national_or_unmatched,,,,308128.95,4,2024-10-01,2025-01-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
Z-ZZZZZZ-ZZZ,Other Activities,Other / multi-sector,national_or_unmatched,,,,38861171.62,8,2023-01-01,2024-05-01,,0,unmapped,national_or_unmapped,No atoll.island pattern found. Add locations manually if this should appear on the island map.
